地名,センター,びん,缶,段ボール・紙製容器,ペットボトル,蛍光灯,プラ,燃やせる,燃やせない,備考
明里町,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,火,月 木,金2 金4,福井
足羽上町,福井,*1,*1,*1,*1,*1,*1,*1,*1,福井（足羽山）
足羽１丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,火,月 木,金2 金4,福井
足羽２丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,火,月 木,金2 金4,福井
足羽３丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,火,月 木,金2 金4,福井
足羽４丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,火,月 木,金2 金4,福井
足羽５丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,火,月 木,金2 金4,福井
浅水町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
浅水二日町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
網戸瀬町,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
安保町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
天菅生町,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,月,火 金,木2 木4,福井
荒木別所町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,金,月 木,火2 火4,福井
飯塚町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,火,月 木,金1 金3,福井
幾久町【２字以外】,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
幾久町【２字】,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
幾代２丁目,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
泉田町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,月,火 金,木2 木4,福井
板垣町,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
